#WinSize=150	WinCount=19246519	DepthCount=17995432
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
0.5	1251747	774	0.19323	0.19323	0	0	0	0.173333	0.42	0	5.99333	0.0637753
1.5	321	321	0.265732	0.265732	0	0	0	0.273333	0.64	0	4.60667	0.0264495
2.5	814	814	0.341695	0.341695	0	0	0	0.42	1.04667	0	5.08667	0.0670712
3.5	496	496	0.469167	0.469167	0	0	0	0.64	1.57333	0	7.39333	0.0408689
4.5	983	983	0.794866	0.794866	0	0	0.1	1.10667	2.76667	0	22.1467	0.0809963
5.5	523	523	0.900127	0.900127	0	0	0.32	1.26	3.14667	0	13.3267	0.0430937
6.5	1133	1133	2.6484	2.6484	0	0	0.453333	1.84667	4.61333	0	1574.77	0.0933559
7.5	569	568	1.66296	1.66296	0	0	0.673333	2.58	6.23333	0	14.7467	0.0468015
8.5	1203	1203	2.5858	2.5858	0	0	1.28	3.42667	8.50667	0	397.913	0.0991237
9.5	649	649	2.76005	2.76005	0	0.133333	1.9	4.00667	9.60667	0	23.8467	0.0534757
10.5	1555	1555	4.34821	4.34821	0	0.56	2.67333	5.74667	13.3133	0	367.26	0.128127
11.5	805	805	5.05213	5.05213	0	1.01333	3.77333	7.26667	16.56	0	36.4933	0.0663296
12.5	2113	2113	6.96498	6.96498	0	2	5.36667	9.53333	20.6867	0	83.2933	0.174105
13.5	1345	1345	9.11906	9.11906	0	3.04667	7.08667	12.46	26.52	0	58.74	0.110824
14.5	3627	3625	11.9622	11.9622	0	4.50667	9.73333	17.3733	36.5733	0	178.413	0.298689
15.5	2542	2541	15.505	15.505	0	7	13.1533	23.1733	46.92	0	174.84	0.209371
16.5	7774	7774	18.7685	18.7685	0	9.78667	18.18	26.52	50.9867	0	145.267	0.640555
17.5	6112	6112	21.4254	21.4254	0	13.2817	21.4067	28.6667	51.3133	0	118.2	0.503611
18.5	20238	20237	23.5804	23.5804	0	16.1	23.82	30.4733	51.92	0	313.247	1.66747
19.5	16235	16235	25.1221	25.1221	0	18.4267	25.2533	31.5667	51.2467	0	433.353	1.33772
20.5	52080	52077	26.4694	26.4694	1.57333	20.1933	26.5333	32.6133	51.2067	0	247.927	4.29099
21.5	39786	39785	27.5271	27.5271	3.27333	21.34	27.4067	33.3867	51.4533	0	481.907	3.27817
22.5	119002	119001	28.1591	28.1591	4.51333	22.1267	28.0667	33.8733	51.4933	0	479.753	9.80533
23.5	83964	83964	28.7373	28.7373	5.52	22.7667	28.5267	34.2733	51.5267	0	789.813	6.91839
24.5	232131	232130	29.1629	29.1629	6.09333	23.2067	28.8933	34.62	51.7333	0	486.74	19.1268
25.5	151589	151583	29.4887	29.4887	6.71333	23.62	29.2067	34.8933	51.7933	0	1044.49	12.49
26.5	384957	384955	29.7039	29.7039	7.08	23.8667	29.42	35.06	51.8467	0	709.907	31.7192
27.5	235132	235125	29.9406	29.9406	7.53333	24.1267	29.62	35.1933	51.7933	0	1413.7	19.3736
28.5	557164	557163	30.0284	30.0284	7.76667	24.2667	29.7133	35.2667	51.7667	0	14513.9	45.9086
29.5	320333	320330	30.1023	30.1023	8.09333	24.4133	29.8133	35.2933	51.6133	0	850.267	26.3943
30.5	717657	717656	30.1835	30.1835	8.21333	24.44	29.8133	35.26	51.4867	0	52842.5	59.1327
31.5	392882	392880	30.1497	30.1497	8.38667	24.4733	29.7667	35.2	51.2867	0	11288.4	32.3722
32.5	847734	847733	30.3957	30.3957	8.56	24.4867	29.7333	35.1067	51.0333	0	45192.8	69.8507
33.5	448868	448859	30.5475	30.5475	8.69333	24.4333	29.64	34.9267	50.6667	0	64448	36.9847
34.5	939469	939469	30.5335	30.5335	8.69333	24.34	29.5067	34.7733	50.42	0	61526.8	77.4095
35.5	484011	484006	31.095	31.095	8.78667	24.2533	29.3733	34.5667	50.0333	0	63045.6	39.8807
36.5	983204	983202	30.7285	30.7285	8.74	24.08	29.14	34.3067	49.64	0	63472	81.013
37.5	489203	489199	30.4535	30.4535	8.74667	23.9333	28.9267	34.06	49.2467	0	56580.1	40.3086
38.5	959757	959757	30.4795	30.4795	8.76667	23.7467	28.68	33.7333	48.7133	0	65097.1	79.0812
39.5	463652	463650	29.4884	29.4884	8.82	23.5667	28.42	33.4	48.1467	0	30053.7	38.2034
40.5	885626	885621	29.3942	29.3942	8.81333	23.3533	28.1333	33.0467	47.5867	0	65097.1	72.9726
41.5	422436	422430	28.506	28.506	8.84667	23.14	27.8333	32.6733	46.9667	0	24660.1	34.807
42.5	803883	803880	28.0068	28.0068	8.77333	22.8667	27.5133	32.2667	46.36	0	21911.4	66.2374
